node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,midYear,startUTLA,endUTLA,startRegion,endRegion,geoDist_km
17717,17718,0.0229566,171351.580532675,542981.837689266,170933.11622113,549216.285253586,0.0229566,0,2020.6804702363,2020.7034268363,2020.6919485363,335,347,Greater_London,Greater_London,6.23675516819911
17718,17719,0.00153358000000003,170933.11622113,549216.285253586,170717.151848141,549645.396379206,0.02449018,0.0229566,2020.7034268363,2020.7049604163,2020.7041936263,347,347,Greater_London,Greater_London,0.479758765228397
17718,25777,0.0121205,170933.11622113,549216.285253586,169976.88569761,548116.05093681,0.0350771,0.0229566,2020.7034268363,2020.7155473363,2020.7094870863,347,335,Greater_London,Greater_London,1.45645200532332
25777,25778,0.00288393000000003,169976.88569761,548116.05093681,169823.072856036,548900.024974269,0.03796103,0.0350771,2020.7155473363,2020.7184312663,2020.7169893013,335,335,Greater_London,Kent,0.797498539069857
17719,8059,0.0136189,170717.151848141,549645.396379206,172435.022142886,592290.702377294,0.03810908,0.02449018,2020.7049604163,2020.7185793163,2020.7117698663,347,296,Greater_London,Kent,42.5946295055452
25778,8061,0.00288035999999997,169823.072856036,548900.024974269,167317.031505513,548401.889033695,0.04084139,0.03796103,2020.7184312663,2020.7213116263,2020.7198714463,335,335,Kent,Greater_London,2.55655323454038
25777,25779,0.00967235,169976.88569761,548116.05093681,169055.914348814,577450.733882107,0.04474945,0.0350771,2020.7155473363,2020.7252196863,2020.7203835113,335,46,Greater_London,Kent,29.2918464838686
17717,27754,0.0450823,171351.580532675,542981.837689266,178289.675946794,544517.077246974,0.0450823,0,2020.6804702363,2020.7255525363,2020.7030113863,335,346,Greater_London,Greater_London,7.10993058768105
25779,27090,0.00471050000000001,169055.914348814,577450.733882107,168759.320589545,590954.800546839,0.04945995,0.04474945,2020.7252196863,2020.7299301863,2020.7275749363,46,296,Kent,Kent,13.4797234046357
17719,17720,0.0266577,170717.151848141,549645.396379206,173083.060241778,551698.365626134,0.05114788,0.02449018,2020.7049604163,2020.7316181163,2020.7182892663,347,193,Greater_London,Greater_London,3.13087572970706
27754,32374,0.00770769999999998,178289.675946794,544517.077246974,183802.351355571,544670.796197267,0.05279,0.0450823,2020.7255525363,2020.7332602363,2020.7294063863,346,364,Greater_London,Greater_London,5.51866758655566
27754,27755,0.00833318999999999,178289.675946794,544517.077246974,184527.124976854,552425.964476573,0.05341549,0.0450823,2020.7255525363,2020.7338857263,2020.7297191313,346,338,Greater_London,Greater_London,10.0626078846226
27090,27204,0.00506432000000001,168759.320589545,590954.800546839,169775.828676851,592419.160623696,0.05452427,0.04945995,2020.7299301863,2020.7349945063,2020.7324623463,296,296,Kent,Kent,1.78023148344939
27090,27091,0.00577877000000004,168759.320589545,590954.800546839,167321.981841797,593375.108818348,0.05523872,0.04945995,2020.7299301863,2020.7357089563,2020.7328195713,296,296,Kent,Kent,2.81122637495571
25779,25780,0.010526,169055.914348814,577450.733882107,165838.113028861,576738.681799554,0.05527545,0.04474945,2020.7252196863,2020.7357456863,2020.7304826863,46,46,Kent,Kent,3.29708376699213
27091,27092,7.38425999999848e-05,167321.981841797,593375.108818348,167778.654050323,592772.313028069,0.0553125626,0.05523872,2020.7357089563,2020.7357827989,2020.7357458776,296,296,Kent,Kent,0.755462822686499
17720,17721,0.00438187000000001,173083.060241778,551698.365626134,173816.433288222,550881.706209529,0.05552975,0.05114788,2020.7316181163,2020.7359999863,2020.7338090513,193,347,Greater_London,Greater_London,1.09687900216719
17721,17722,0.00208336000000003,173816.433288222,550881.706209529,171814.43059144,547860.635340631,0.05761311,0.05552975,2020.7359999863,2020.7380833463,2020.7370416663,347,347,Greater_London,Greater_London,3.61991870420474
32374,32377,0.00507430999999997,183802.351355571,544670.796197267,181755.0346676,551729.806104006,0.05786431,0.05279,2020.7332602363,2020.7383345463,2020.7357973913,364,338,Greater_London,Greater_London,7.33764426443056
27755,27756,0.00682869999999997,184527.124976854,552425.964476573,188926.993773452,549809.185585294,0.06024419,0.05341549,2020.7338857263,2020.7407144263,2020.7373000763,338,338,Greater_London,Greater_London,5.11953519813469
25780,25801,0.00790109999999999,165838.113028861,576738.681799554,169019.019162791,587855.031110396,0.06317655,0.05527545,2020.7357456863,2020.7436467863,2020.7396962363,46,296,Kent,Kent,11.5406353086811
25780,25781,0.00928085000000001,165838.113028861,576738.681799554,167888.115094826,575530.549819478,0.0645563,0.05527545,2020.7357456863,2020.7450265363,2020.7403861113,46,46,Kent,Kent,2.37953382892556
17721,18363,0.00933562999999998,173816.433288222,550881.706209529,171741.398892832,551477.818385696,0.06486538,0.05552975,2020.7359999863,2020.7453356163,2020.7406678013,347,193,Greater_London,Kent,2.16011817331434
32377,14661,0.00756718000000001,181755.0346676,551729.806104006,123761.616170181,456295.964278043,0.06543149,0.05786431,2020.7383345463,2020.7459017263,2020.7421181363,338,173,Greater_London,NA,111.549382764002
25781,8062,0.000875270999999955,167888.115094826,575530.549819478,169185.718286519,578255.380744336,0.065431571,0.0645563,2020.7450265363,2020.7459018073,2020.7454641718,46,46,Kent,Kent,3.01318636212124
17722,1,0.0105506,171814.43059144,547860.635340631,168434.962914103,547953.379770953,0.06816371,0.05761311,2020.7380833463,2020.7486339463,2020.7433586463,347,335,Greater_London,Greater_London,3.38314494614681
18363,18364,0.00387224000000003,171741.398892832,551477.818385696,170314.611045644,554198.534738769,0.06873762,0.06486538,2020.7453356163,2020.7492078563,2020.7472717363,193,193,Kent,Kent,3.06816263073635
25801,26588,0.00610721000000003,169019.019162791,587855.031110396,170677.531899144,588111.665131181,0.06928376,0.06317655,2020.7436467863,2020.7497539963,2020.7467003913,296,296,Kent,Kent,1.67901415951877
27755,28428,0.0177214,184527.124976854,552425.964476573,184579.246336206,550688.991756257,0.07113689,0.05341549,2020.7338857263,2020.7516071263,2020.7427464263,338,364,Greater_London,Greater_London,1.73442327838875
28428,31029,0.00143052999999999,184579.246336206,550688.991756257,183834.448570308,550949.268340093,0.07256742,0.07113689,2020.7516071263,2020.7530376563,2020.7523223913,364,338,Greater_London,Greater_London,0.789315237095317
18363,20595,0.00770965000000001,171741.398892832,551477.818385696,170423.735420486,550299.402523267,0.07257503,0.06486538,2020.7453356163,2020.7530452663,2020.7491904413,193,193,Kent,Kent,1.76678484683956
31029,32226,0.000416927000000011,183834.448570308,550949.268340093,183987.755175178,550802.139294468,0.072984347,0.07256742,2020.7530376563,2020.7534545833,2020.7532461198,338,338,Greater_London,Greater_London,0.212380742623942
17722,17723,0.0156517,171814.43059144,547860.635340631,193809.87535485,540825.982589989,0.07326481,0.05761311,2020.7380833463,2020.7537350463,2020.7459091963,347,160,Greater_London,Greater_London,23.104627420253
26588,26667,0.00434726999999996,170677.531899144,588111.665131181,171810.009749737,586233.371226789,0.07363103,0.06928376,2020.7497539963,2020.7541012663,2020.7519276313,296,NA,Kent,NA,2.19047252936653
32374,32375,0.0210113,183802.351355571,544670.796197267,181900.400549303,541857.477222114,0.0738013,0.05279,2020.7332602363,2020.7542715363,2020.7437658863,364,363,Greater_London,Greater_London,3.39201635583755
18364,18365,0.00530422999999997,170314.611045644,554198.534738769,170857.03266757,553805.721847737,0.07404185,0.06873762,2020.7492078563,2020.7545120863,2020.7518599713,193,193,Kent,Kent,0.669627101301612
32377,32378,0.0164767,181755.0346676,551729.806104006,185522.482616049,550598.676773795,0.07434101,0.05786431,2020.7383345463,2020.7548112463,2020.7465728963,338,364,Greater_London,Greater_London,3.93557241009562
32226,32227,0.00140170000000001,183987.755175178,550802.139294468,177703.405138469,553131.355581808,0.074386047,0.072984347,2020.7534545833,2020.7548562833,2020.7541554333,338,347,Greater_London,Greater_London,6.70489045204886
20595,21739,0.00233059000000002,170423.735420486,550299.402523267,171558.413149832,549157.761854305,0.07490562,0.07257503,2020.7530452663,2020.7553758563,2020.7542105613,193,347,Kent,Greater_London,1.60874662092774
32378,32379,0.00104220000000005,185522.482616049,550598.676773795,183312.260948162,551781.414141881,0.07538321,0.07434101,2020.7548112463,2020.7558534463,2020.7553323463,364,338,Greater_London,Greater_London,2.50718586760835
26667,26668,0.00225371000000002,171810.009749737,586233.371226789,173335.061404968,597640.179669435,0.07588474,0.07363103,2020.7541012663,2020.7563549763,2020.7552281213,NA,NA,NA,NA,11.4845304000527
17720,23529,0.0265867,173083.060241778,551698.365626134,169257.66494143,549924.136211006,0.07773458,0.05114788,2020.7316181163,2020.7582048163,2020.7449114663,193,335,Greater_London,Kent,4.21755909208989
18365,18366,0.00469257000000001,170857.03266757,553805.721847737,165226.943792817,579502.656666611,0.07873442,0.07404185,2020.7545120863,2020.7592046563,2020.7568583713,193,46,Kent,Kent,26.2586276092646
